n_obs_original,n_obs_efectivo,grupo_original,grupo_efectivo,cambia_de_grupo
444,444,250-499,250-499,False
90,90,<100,<100,False
356,356,250-499,250-499,False
723,723,500-999,500-999,False
1249,1249,>=1000,>=1000,False
264,264,250-499,250-499,False
54,54,<100,<100,False
143,143,100-249,100-249,False
435,435,250-499,250-499,False
721,721,500-999,500-999,False
393,393,250-499,250-499,False
617,617,500-999,500-999,False
367,367,250-499,250-499,False
412,412,250-499,250-499,False
740,740,500-999,500-999,False
637,637,500-999,500-999,False
547,547,500-999,500-999,False
1257,1257,>=1000,>=1000,False
1290,1290,>=1000,>=1000,False
368,368,250-499,250-499,False
791,791,500-999,500-999,False
377,377,250-499,250-499,False
1004,1004,>=1000,>=1000,False
1144,1144,>=1000,>=1000,False
331,331,250-499,250-499,False
248,248,100-249,100-249,False
640,640,500-999,500-999,False
580,580,500-999,500-999,False
61,61,<100,<100,False
170,170,100-249,100-249,False
433,433,250-499,250-499,False
308,308,250-499,250-499,False
740,740,500-999,500-999,False
769,769,500-999,500-999,False
58,58,<100,<100,False
179,179,100-249,100-249,False
368,368,250-499,250-499,False
251,251,250-499,250-499,False
431,431,250-499,250-499,False
617,617,500-999,500-999,False
471,471,250-499,250-499,False
614,614,500-999,500-999,False
1310,1310,>=1000,>=1000,False
53,53,<100,<100,False
1626,1626,>=1000,>=1000,False
47,47,<100,<100,False
1019,1019,>=1000,>=1000,False
563,563,500-999,500-999,False
1366,1365,>=1000,>=1000,False
696,696,500-999,500-999,False
540,540,500-999,500-999,False
732,732,500-999,500-999,False
448,448,250-499,250-499,False
368,368,250-499,250-499,False
159,159,100-249,100-249,False
705,705,500-999,500-999,False
161,161,100-249,100-249,False
732,732,500-999,500-999,False
942,942,500-999,500-999,False
965,965,500-999,500-999,False
253,253,250-499,250-499,False
726,726,500-999,500-999,False
171,171,100-249,100-249,False
846,846,500-999,500-999,False
32,32,<100,<100,False
1434,1434,>=1000,>=1000,False
573,573,500-999,500-999,False
191,191,100-249,100-249,False
353,353,250-499,250-499,False
569,569,500-999,500-999,False
339,339,250-499,250-499,False
472,472,250-499,250-499,False
171,171,100-249,100-249,False
39,39,<100,<100,False
1085,1085,>=1000,>=1000,False
1126,1126,>=1000,>=1000,False
351,351,250-499,250-499,False
256,256,250-499,250-499,False
542,542,500-999,500-999,False
1206,1206,>=1000,>=1000,False
33,33,<100,<100,False
595,595,500-999,500-999,False
255,255,250-499,250-499,False
438,438,250-499,250-499,False
63,63,<100,<100,False
1068,1068,>=1000,>=1000,False
83,83,<100,<100,False
352,352,250-499,250-499,False
282,282,250-499,250-499,False
308,308,250-499,250-499,False
892,892,500-999,500-999,False
347,347,250-499,250-499,False
54,54,<100,<100,False
293,293,250-499,250-499,False
282,282,250-499,250-499,False
693,693,500-999,500-999,False
721,721,500-999,500-999,False
468,468,250-499,250-499,False
278,278,250-499,250-499,False
442,442,250-499,250-499,False
510,510,500-999,500-999,False
932,932,500-999,500-999,False
250,250,250-499,250-499,False
486,486,250-499,250-499,False
311,311,250-499,250-499,False
639,639,500-999,500-999,False
592,592,500-999,500-999,False
35,35,<100,<100,False
384,384,250-499,250-499,False
642,642,500-999,500-999,False
389,389,250-499,250-499,False
586,586,500-999,500-999,False
844,844,500-999,500-999,False
125,125,100-249,100-249,False
641,641,500-999,500-999,False
484,484,250-499,250-499,False
1085,1085,>=1000,>=1000,False
522,522,500-999,500-999,False
1204,1204,>=1000,>=1000,False
601,601,500-999,500-999,False
45,45,<100,<100,False
90,90,<100,<100,False
86,86,<100,<100,False
306,306,250-499,250-499,False
321,321,250-499,250-499,False
193,193,100-249,100-249,False
280,280,250-499,250-499,False
632,632,500-999,500-999,False
144,144,100-249,100-249,False
407,407,250-499,250-499,False
364,364,250-499,250-499,False
254,254,250-499,250-499,False
1061,1061,>=1000,>=1000,False
2238,2238,>=1000,>=1000,False
1100,1100,>=1000,>=1000,False
462,462,250-499,250-499,False
1092,1092,>=1000,>=1000,False
639,639,500-999,500-999,False
352,352,250-499,250-499,False
388,388,250-499,250-499,False
132,132,100-249,100-249,False
340,340,250-499,250-499,False
296,296,250-499,250-499,False
1079,1079,>=1000,>=1000,False
463,463,250-499,250-499,False
392,392,250-499,250-499,False
599,599,500-999,500-999,False
309,309,250-499,250-499,False
371,371,250-499,250-499,False
256,256,250-499,250-499,False
458,458,250-499,250-499,False
25,25,<100,<100,False
119,119,100-249,100-249,False
718,718,500-999,500-999,False
1142,1142,>=1000,>=1000,False
714,714,500-999,500-999,False
182,182,100-249,100-249,False
70,70,<100,<100,False
124,124,100-249,100-249,False
391,391,250-499,250-499,False
650,650,500-999,500-999,False
200,200,100-249,100-249,False
1507,1507,>=1000,>=1000,False
271,271,250-499,250-499,False
720,720,500-999,500-999,False
330,330,250-499,250-499,False
602,602,500-999,500-999,False
170,170,100-249,100-249,False
417,417,250-499,250-499,False
44,44,<100,<100,False
60,59,<100,<100,False
78,78,<100,<100,False
1156,1156,>=1000,>=1000,False
485,485,250-499,250-499,False
473,473,250-499,250-499,False
508,508,500-999,500-999,False
229,229,100-249,100-249,False
550,550,500-999,500-999,False
533,533,500-999,500-999,False
325,325,250-499,250-499,False
719,719,500-999,500-999,False
557,557,500-999,500-999,False
292,292,250-499,250-499,False
394,394,250-499,250-499,False
243,243,100-249,100-249,False
476,476,250-499,250-499,False
1108,1108,>=1000,>=1000,False
1559,1559,>=1000,>=1000,False
742,742,500-999,500-999,False
445,445,250-499,250-499,False
282,282,250-499,250-499,False
214,214,100-249,100-249,False
432,432,250-499,250-499,False
472,472,250-499,250-499,False
384,384,250-499,250-499,False
417,417,250-499,250-499,False
306,306,250-499,250-499,False
152,152,100-249,100-249,False
330,330,250-499,250-499,False
1037,1037,>=1000,>=1000,False
989,989,500-999,500-999,False
229,229,100-249,100-249,False
46,46,<100,<100,False
849,849,500-999,500-999,False
219,219,100-249,100-249,False
91,91,<100,<100,False
47,47,<100,<100,False
225,225,100-249,100-249,False
312,312,250-499,250-499,False
606,606,500-999,500-999,False
283,283,250-499,250-499,False
548,548,500-999,500-999,False
478,478,250-499,250-499,False
42,42,<100,<100,False
224,224,100-249,100-249,False
353,353,250-499,250-499,False
1041,1041,>=1000,>=1000,False
1008,1008,>=1000,>=1000,False
286,286,250-499,250-499,False
272,272,250-499,250-499,False
419,419,250-499,250-499,False
392,392,250-499,250-499,False
301,301,250-499,250-499,False
303,303,250-499,250-499,False
885,885,500-999,500-999,False
467,467,250-499,250-499,False
1231,1231,>=1000,>=1000,False
238,238,100-249,100-249,False
155,155,100-249,100-249,False
212,212,100-249,100-249,False
943,943,500-999,500-999,False
788,788,500-999,500-999,False
1089,1089,>=1000,>=1000,False
968,968,500-999,500-999,False
619,619,500-999,500-999,False
332,332,250-499,250-499,False
361,361,250-499,250-499,False
758,758,500-999,500-999,False
169,169,100-249,100-249,False
511,511,500-999,500-999,False
315,315,250-499,250-499,False
1166,1166,>=1000,>=1000,False
866,866,500-999,500-999,False
1134,1134,>=1000,>=1000,False
689,689,500-999,500-999,False
918,918,500-999,500-999,False
461,461,250-499,250-499,False
319,319,250-499,250-499,False
2267,2267,>=1000,>=1000,False
468,468,250-499,250-499,False
293,293,250-499,250-499,False
239,239,100-249,100-249,False
166,166,100-249,100-249,False
352,352,250-499,250-499,False
312,312,250-499,250-499,False
1384,1384,>=1000,>=1000,False
251,251,250-499,250-499,False
417,417,250-499,250-499,False
44,44,<100,<100,False
672,672,500-999,500-999,False
726,726,500-999,500-999,False
1114,1114,>=1000,>=1000,False
611,611,500-999,500-999,False
1004,1004,>=1000,>=1000,False
65,65,<100,<100,False
309,309,250-499,250-499,False
162,162,100-249,100-249,False
764,764,500-999,500-999,False
83,83,<100,<100,False
106,106,100-249,100-249,False
465,465,250-499,250-499,False
249,249,100-249,100-249,False
121,121,100-249,100-249,False
45,45,<100,<100,False
435,435,250-499,250-499,False
407,407,250-499,250-499,False
485,485,250-499,250-499,False
1006,1006,>=1000,>=1000,False
536,536,500-999,500-999,False
256,256,250-499,250-499,False
512,512,500-999,500-999,False
568,567,500-999,500-999,False
200,200,100-249,100-249,False
857,857,500-999,500-999,False
856,856,500-999,500-999,False
461,461,250-499,250-499,False
234,234,100-249,100-249,False
1473,1473,>=1000,>=1000,False
131,131,100-249,100-249,False
462,462,250-499,250-499,False
647,647,500-999,500-999,False
187,187,100-249,100-249,False
222,222,100-249,100-249,False
687,687,500-999,500-999,False
258,258,250-499,250-499,False
277,277,250-499,250-499,False
502,502,500-999,500-999,False
148,148,100-249,100-249,False
796,796,500-999,500-999,False
298,298,250-499,250-499,False
218,218,100-249,100-249,False
884,884,500-999,500-999,False
481,481,250-499,250-499,False
578,578,500-999,500-999,False
1863,1863,>=1000,>=1000,False
293,293,250-499,250-499,False
327,327,250-499,250-499,False
305,305,250-499,250-499,False
1184,1184,>=1000,>=1000,False
374,373,250-499,250-499,False
259,259,250-499,250-499,False
473,473,250-499,250-499,False
147,147,100-249,100-249,False
190,190,100-249,100-249,False
404,404,250-499,250-499,False
332,332,250-499,250-499,False
1168,1168,>=1000,>=1000,False
200,200,100-249,100-249,False
342,342,250-499,250-499,False
157,157,100-249,100-249,False
767,767,500-999,500-999,False
590,590,500-999,500-999,False
173,173,100-249,100-249,False
371,371,250-499,250-499,False
144,144,100-249,100-249,False
440,440,250-499,250-499,False
52,52,<100,<100,False
656,656,500-999,500-999,False
648,648,500-999,500-999,False
47,47,<100,<100,False
1338,1338,>=1000,>=1000,False
1632,1632,>=1000,>=1000,False
249,249,100-249,100-249,False
272,272,250-499,250-499,False
172,172,100-249,100-249,False
249,249,100-249,100-249,False
756,756,500-999,500-999,False
209,209,100-249,100-249,False
800,800,500-999,500-999,False
713,713,500-999,500-999,False
254,254,250-499,250-499,False
415,415,250-499,250-499,False
279,279,250-499,250-499,False
591,591,500-999,500-999,False
842,842,500-999,500-999,False
370,370,250-499,250-499,False
41,41,<100,<100,False
563,563,500-999,500-999,False
140,140,100-249,100-249,False
1146,1146,>=1000,>=1000,False
214,214,100-249,100-249,False
650,650,500-999,500-999,False
306,306,250-499,250-499,False
967,967,500-999,500-999,False
231,231,100-249,100-249,False
1147,1147,>=1000,>=1000,False
227,227,100-249,100-249,False
354,354,250-499,250-499,False
333,333,250-499,250-499,False
435,435,250-499,250-499,False
108,108,100-249,100-249,False
582,582,500-999,500-999,False
1340,1340,>=1000,>=1000,False
674,674,500-999,500-999,False
972,972,500-999,500-999,False
611,611,500-999,500-999,False
57,57,<100,<100,False
1311,1311,>=1000,>=1000,False
465,465,250-499,250-499,False
325,325,250-499,250-499,False
833,833,500-999,500-999,False
80,80,<100,<100,False
405,405,250-499,250-499,False
724,724,500-999,500-999,False
656,656,500-999,500-999,False
188,188,100-249,100-249,False
146,146,100-249,100-249,False
254,254,250-499,250-499,False
368,368,250-499,250-499,False
416,416,250-499,250-499,False
459,459,250-499,250-499,False
780,780,500-999,500-999,False
522,522,500-999,500-999,False
155,155,100-249,100-249,False
49,49,<100,<100,False
479,479,250-499,250-499,False
427,427,250-499,250-499,False
313,313,250-499,250-499,False
375,375,250-499,250-499,False
51,51,<100,<100,False
356,356,250-499,250-499,False
629,629,500-999,500-999,False
67,67,<100,<100,False
486,486,250-499,250-499,False
701,701,500-999,500-999,False
1858,1857,>=1000,>=1000,False
2341,2341,>=1000,>=1000,False
34,34,<100,<100,False
702,702,500-999,500-999,False
479,479,250-499,250-499,False
471,471,250-499,250-499,False
687,687,500-999,500-999,False
395,395,250-499,250-499,False
433,433,250-499,250-499,False
526,526,500-999,500-999,False
1148,1148,>=1000,>=1000,False
138,138,100-249,100-249,False
485,485,250-499,250-499,False
49,49,<100,<100,False
349,349,250-499,250-499,False
552,552,500-999,500-999,False
412,412,250-499,250-499,False
866,866,500-999,500-999,False
685,685,500-999,500-999,False
349,349,250-499,250-499,False
62,62,<100,<100,False
646,646,500-999,500-999,False
804,804,500-999,500-999,False
284,284,250-499,250-499,False
123,123,100-249,100-249,False
499,499,250-499,250-499,False
687,687,500-999,500-999,False
218,218,100-249,100-249,False
354,354,250-499,250-499,False
265,265,250-499,250-499,False
45,45,<100,<100,False
281,281,250-499,250-499,False
797,797,500-999,500-999,False
387,387,250-499,250-499,False
3726,3725,>=1000,>=1000,False
1255,1255,>=1000,>=1000,False
280,280,250-499,250-499,False
224,224,100-249,100-249,False
532,532,500-999,500-999,False
459,459,250-499,250-499,False
277,277,250-499,250-499,False
257,257,250-499,250-499,False
579,579,500-999,500-999,False
310,310,250-499,250-499,False
160,160,100-249,100-249,False
488,488,250-499,250-499,False
566,566,500-999,500-999,False
635,635,500-999,500-999,False
360,360,250-499,250-499,False
621,621,500-999,500-999,False
343,343,250-499,250-499,False
55,55,<100,<100,False
595,595,500-999,500-999,False
1028,1028,>=1000,>=1000,False
396,396,250-499,250-499,False
1139,1139,>=1000,>=1000,False
598,598,500-999,500-999,False
891,891,500-999,500-999,False
876,876,500-999,500-999,False
156,156,100-249,100-249,False
379,379,250-499,250-499,False
79,79,<100,<100,False
454,454,250-499,250-499,False
216,216,100-249,100-249,False
522,522,500-999,500-999,False
671,671,500-999,500-999,False
164,164,100-249,100-249,False
173,173,100-249,100-249,False
47,47,<100,<100,False
1903,1903,>=1000,>=1000,False
482,482,250-499,250-499,False
2068,2068,>=1000,>=1000,False
55,55,<100,<100,False
253,253,250-499,250-499,False
597,597,500-999,500-999,False
544,544,500-999,500-999,False
49,49,<100,<100,False
140,140,100-249,100-249,False
712,712,500-999,500-999,False
858,858,500-999,500-999,False
173,173,100-249,100-249,False
422,422,250-499,250-499,False
1528,1528,>=1000,>=1000,False
973,973,500-999,500-999,False
313,313,250-499,250-499,False
341,341,250-499,250-499,False
305,305,250-499,250-499,False
747,747,500-999,500-999,False
291,291,250-499,250-499,False
426,426,250-499,250-499,False
685,685,500-999,500-999,False
200,200,100-249,100-249,False
282,282,250-499,250-499,False
570,570,500-999,500-999,False
1030,1030,>=1000,>=1000,False
1810,1810,>=1000,>=1000,False
1072,1072,>=1000,>=1000,False
374,374,250-499,250-499,False
787,787,500-999,500-999,False
1996,1996,>=1000,>=1000,False
543,543,500-999,500-999,False
284,284,250-499,250-499,False
253,253,250-499,250-499,False
517,517,500-999,500-999,False
424,424,250-499,250-499,False
219,219,100-249,100-249,False
289,289,250-499,250-499,False
455,455,250-499,250-499,False
1767,1767,>=1000,>=1000,False
672,672,500-999,500-999,False
352,352,250-499,250-499,False
567,567,500-999,500-999,False
514,514,500-999,500-999,False
886,886,500-999,500-999,False
1099,1099,>=1000,>=1000,False
815,815,500-999,500-999,False
187,187,100-249,100-249,False
99,99,<100,<100,False
311,311,250-499,250-499,False
159,159,100-249,100-249,False
554,554,500-999,500-999,False
428,428,250-499,250-499,False
103,103,100-249,100-249,False
170,170,100-249,100-249,False
1166,1166,>=1000,>=1000,False
582,582,500-999,500-999,False
400,400,250-499,250-499,False
53,53,<100,<100,False
538,538,500-999,500-999,False
63,63,<100,<100,False
173,173,100-249,100-249,False
455,455,250-499,250-499,False
468,468,250-499,250-499,False
587,587,500-999,500-999,False
531,531,500-999,500-999,False
902,902,500-999,500-999,False
204,204,100-249,100-249,False
299,299,250-499,250-499,False
44,44,<100,<100,False
930,930,500-999,500-999,False
206,206,100-249,100-249,False
630,630,500-999,500-999,False
637,637,500-999,500-999,False
184,184,100-249,100-249,False
361,361,250-499,250-499,False
168,168,100-249,100-249,False
69,69,<100,<100,False
365,365,250-499,250-499,False
365,365,250-499,250-499,False
349,349,250-499,250-499,False
663,663,500-999,500-999,False
528,528,500-999,500-999,False
167,167,100-249,100-249,False
824,824,500-999,500-999,False
195,195,100-249,100-249,False
570,570,500-999,500-999,False
333,333,250-499,250-499,False
271,271,250-499,250-499,False
977,977,500-999,500-999,False
959,959,500-999,500-999,False
550,550,500-999,500-999,False
361,361,250-499,250-499,False
1236,1236,>=1000,>=1000,False
175,175,100-249,100-249,False
370,370,250-499,250-499,False
579,579,500-999,500-999,False
408,408,250-499,250-499,False
592,592,500-999,500-999,False
832,832,500-999,500-999,False
215,215,100-249,100-249,False
1050,1050,>=1000,>=1000,False
711,711,500-999,500-999,False
599,599,500-999,500-999,False
355,355,250-499,250-499,False
347,347,250-499,250-499,False
2266,2266,>=1000,>=1000,False
56,56,<100,<100,False
473,473,250-499,250-499,False
42,42,<100,<100,False
620,620,500-999,500-999,False
80,80,<100,<100,False
1163,1163,>=1000,>=1000,False
45,45,<100,<100,False
489,489,250-499,250-499,False
1058,1058,>=1000,>=1000,False
570,570,500-999,500-999,False
1912,1912,>=1000,>=1000,False
33,33,<100,<100,False
363,363,250-499,250-499,False
287,287,250-499,250-499,False
136,136,100-249,100-249,False
50,50,<100,<100,False
463,463,250-499,250-499,False
782,782,500-999,500-999,False
118,118,100-249,100-249,False
368,368,250-499,250-499,False
435,435,250-499,250-499,False
370,370,250-499,250-499,False
347,347,250-499,250-499,False
696,696,500-999,500-999,False
243,243,100-249,100-249,False
188,188,100-249,100-249,False
563,563,500-999,500-999,False
215,215,100-249,100-249,False
298,298,250-499,250-499,False
2437,2437,>=1000,>=1000,False
433,433,250-499,250-499,False
697,697,500-999,500-999,False
402,402,250-499,250-499,False
49,49,<100,<100,False
117,117,100-249,100-249,False
201,201,100-249,100-249,False
285,285,250-499,250-499,False
421,421,250-499,250-499,False
303,303,250-499,250-499,False
491,491,250-499,250-499,False
440,440,250-499,250-499,False
351,351,250-499,250-499,False
50,50,<100,<100,False
214,214,100-249,100-249,False
1309,1309,>=1000,>=1000,False
139,139,100-249,100-249,False
119,119,100-249,100-249,False
154,154,100-249,100-249,False
120,120,100-249,100-249,False
294,294,250-499,250-499,False
306,306,250-499,250-499,False
2193,2193,>=1000,>=1000,False
75,75,<100,<100,False
534,534,500-999,500-999,False
723,723,500-999,500-999,False
627,627,500-999,500-999,False
353,353,250-499,250-499,False
516,516,500-999,500-999,False
246,246,100-249,100-249,False
1124,1124,>=1000,>=1000,False
534,534,500-999,500-999,False
392,392,250-499,250-499,False
79,79,<100,<100,False
659,659,500-999,500-999,False
264,264,250-499,250-499,False
73,73,<100,<100,False
444,444,250-499,250-499,False
819,819,500-999,500-999,False
550,550,500-999,500-999,False
44,44,<100,<100,False
465,465,250-499,250-499,False
169,169,100-249,100-249,False
1043,1043,>=1000,>=1000,False
80,80,<100,<100,False
967,967,500-999,500-999,False
302,302,250-499,250-499,False
456,456,250-499,250-499,False
487,487,250-499,250-499,False
61,61,<100,<100,False
47,47,<100,<100,False
950,950,500-999,500-999,False
576,576,500-999,500-999,False
975,975,500-999,500-999,False
45,45,<100,<100,False
668,668,500-999,500-999,False
654,654,500-999,500-999,False
33,33,<100,<100,False
423,423,250-499,250-499,False
642,642,500-999,500-999,False
630,630,500-999,500-999,False
456,456,250-499,250-499,False
48,48,<100,<100,False
323,323,250-499,250-499,False
860,860,500-999,500-999,False
80,80,<100,<100,False
470,470,250-499,250-499,False
47,47,<100,<100,False
87,87,<100,<100,False
613,613,500-999,500-999,False
461,461,250-499,250-499,False
411,411,250-499,250-499,False
752,752,500-999,500-999,False
705,705,500-999,500-999,False
633,633,500-999,500-999,False
272,272,250-499,250-499,False
116,116,100-249,100-249,False
442,442,250-499,250-499,False
1049,1049,>=1000,>=1000,False
1038,1037,>=1000,>=1000,False
748,748,500-999,500-999,False
188,188,100-249,100-249,False
644,644,500-999,500-999,False
607,607,500-999,500-999,False
75,75,<100,<100,False
214,214,100-249,100-249,False
530,530,500-999,500-999,False
371,371,250-499,250-499,False
254,254,250-499,250-499,False
360,360,250-499,250-499,False
174,174,100-249,100-249,False
831,831,500-999,500-999,False
40,40,<100,<100,False
254,254,250-499,250-499,False
727,727,500-999,500-999,False
961,961,500-999,500-999,False
1109,1109,>=1000,>=1000,False
869,869,500-999,500-999,False
554,554,500-999,500-999,False
233,233,100-249,100-249,False
396,396,250-499,250-499,False
471,471,250-499,250-499,False
83,83,<100,<100,False
641,641,500-999,500-999,False
260,260,250-499,250-499,False
396,396,250-499,250-499,False
409,409,250-499,250-499,False
427,427,250-499,250-499,False
760,760,500-999,500-999,False
321,321,250-499,250-499,False
606,606,500-999,500-999,False
872,872,500-999,500-999,False
321,321,250-499,250-499,False
321,321,250-499,250-499,False
480,480,250-499,250-499,False
184,184,100-249,100-249,False
163,163,100-249,100-249,False
100,100,100-249,100-249,False
53,53,<100,<100,False
475,475,250-499,250-499,False
654,654,500-999,500-999,False
189,189,100-249,100-249,False
342,342,250-499,250-499,False
243,243,100-249,100-249,False
331,331,250-499,250-499,False
256,256,250-499,250-499,False
256,256,250-499,250-499,False
226,226,100-249,100-249,False
1046,1046,>=1000,>=1000,False
244,244,100-249,100-249,False
340,340,250-499,250-499,False
2416,2415,>=1000,>=1000,False
679,679,500-999,500-999,False
287,287,250-499,250-499,False
418,418,250-499,250-499,False
930,930,500-999,500-999,False
157,157,100-249,100-249,False
418,418,250-499,250-499,False
471,471,250-499,250-499,False
59,59,<100,<100,False
323,323,250-499,250-499,False
1158,1158,>=1000,>=1000,False
467,467,250-499,250-499,False
730,730,500-999,500-999,False
372,372,250-499,250-499,False
263,263,250-499,250-499,False
46,46,<100,<100,False
620,620,500-999,500-999,False
1438,1438,>=1000,>=1000,False
312,312,250-499,250-499,False
75,75,<100,<100,False
400,400,250-499,250-499,False
243,243,100-249,100-249,False
114,114,100-249,100-249,False
176,176,100-249,100-249,False
117,117,100-249,100-249,False
327,327,250-499,250-499,False
275,275,250-499,250-499,False
543,543,500-999,500-999,False
354,354,250-499,250-499,False
916,916,500-999,500-999,False
96,96,<100,<100,False
271,271,250-499,250-499,False
100,100,100-249,100-249,False
375,375,250-499,250-499,False
413,413,250-499,250-499,False
866,866,500-999,500-999,False
368,367,250-499,250-499,False
1074,1074,>=1000,>=1000,False
53,53,<100,<100,False
232,232,100-249,100-249,False
718,718,500-999,500-999,False
713,713,500-999,500-999,False
331,331,250-499,250-499,False
269,269,250-499,250-499,False
655,655,500-999,500-999,False
328,328,250-499,250-499,False
31,31,<100,<100,False
112,112,100-249,100-249,False
137,137,100-249,100-249,False
598,598,500-999,500-999,False
26,26,<100,<100,False
1783,1783,>=1000,>=1000,False
540,540,500-999,500-999,False
415,415,250-499,250-499,False
472,472,250-499,250-499,False
515,515,500-999,500-999,False
614,614,500-999,500-999,False
56,56,<100,<100,False
464,464,250-499,250-499,False
1915,1915,>=1000,>=1000,False
1496,1496,>=1000,>=1000,False
215,215,100-249,100-249,False
645,645,500-999,500-999,False
211,211,100-249,100-249,False
50,50,<100,<100,False
679,679,500-999,500-999,False
859,859,500-999,500-999,False
944,944,500-999,500-999,False
671,671,500-999,500-999,False
363,363,250-499,250-499,False
1064,1064,>=1000,>=1000,False
764,764,500-999,500-999,False
258,258,250-499,250-499,False
769,769,500-999,500-999,False
742,742,500-999,500-999,False
113,113,100-249,100-249,False
261,261,250-499,250-499,False
618,618,500-999,500-999,False
202,202,100-249,100-249,False
281,281,250-499,250-499,False
177,177,100-249,100-249,False
616,616,500-999,500-999,False
429,429,250-499,250-499,False
686,686,500-999,500-999,False
338,338,250-499,250-499,False
482,482,250-499,250-499,False
225,225,100-249,100-249,False
71,71,<100,<100,False
517,517,500-999,500-999,False
723,723,500-999,500-999,False
886,886,500-999,500-999,False
151,151,100-249,100-249,False
419,419,250-499,250-499,False
227,227,100-249,100-249,False
1407,1407,>=1000,>=1000,False
320,320,250-499,250-499,False
372,372,250-499,250-499,False
402,402,250-499,250-499,False
329,329,250-499,250-499,False
799,799,500-999,500-999,False
528,528,500-999,500-999,False
756,756,500-999,500-999,False
1250,1250,>=1000,>=1000,False
46,46,<100,<100,False
684,684,500-999,500-999,False
83,83,<100,<100,False
398,398,250-499,250-499,False
157,157,100-249,100-249,False
783,783,500-999,500-999,False
236,236,100-249,100-249,False
1178,1178,>=1000,>=1000,False
31,31,<100,<100,False
388,388,250-499,250-499,False
827,827,500-999,500-999,False
506,506,500-999,500-999,False
456,456,250-499,250-499,False
625,625,500-999,500-999,False
387,387,250-499,250-499,False
537,537,500-999,500-999,False
361,361,250-499,250-499,False
717,717,500-999,500-999,False
27,27,<100,<100,False
54,54,<100,<100,False
292,292,250-499,250-499,False
256,256,250-499,250-499,False
380,380,250-499,250-499,False
513,513,500-999,500-999,False
105,105,100-249,100-249,False
862,862,500-999,500-999,False
642,642,500-999,500-999,False
79,79,<100,<100,False
204,204,100-249,100-249,False
176,176,100-249,100-249,False
474,474,250-499,250-499,False
729,729,500-999,500-999,False
1678,1678,>=1000,>=1000,False
336,336,250-499,250-499,False
193,193,100-249,100-249,False
1455,1455,>=1000,>=1000,False
416,416,250-499,250-499,False
269,269,250-499,250-499,False
312,312,250-499,250-499,False
636,636,500-999,500-999,False
474,474,250-499,250-499,False
705,705,500-999,500-999,False
45,45,<100,<100,False
440,440,250-499,250-499,False
179,179,100-249,100-249,False
282,282,250-499,250-499,False
582,582,500-999,500-999,False
880,880,500-999,500-999,False
879,879,500-999,500-999,False
229,229,100-249,100-249,False
272,272,250-499,250-499,False
221,221,100-249,100-249,False
592,592,500-999,500-999,False
618,618,500-999,500-999,False
266,266,250-499,250-499,False
489,489,250-499,250-499,False
366,366,250-499,250-499,False
253,253,250-499,250-499,False
1400,1400,>=1000,>=1000,False
131,131,100-249,100-249,False
61,61,<100,<100,False
934,934,500-999,500-999,False
2186,2186,>=1000,>=1000,False
399,399,250-499,250-499,False
615,615,500-999,500-999,False
453,453,250-499,250-499,False
878,878,500-999,500-999,False
33,33,<100,<100,False
889,889,500-999,500-999,False
610,610,500-999,500-999,False
422,422,250-499,250-499,False
397,397,250-499,250-499,False
1113,1113,>=1000,>=1000,False
918,918,500-999,500-999,False
78,78,<100,<100,False
1603,1603,>=1000,>=1000,False
697,697,500-999,500-999,False
365,365,250-499,250-499,False
308,308,250-499,250-499,False
2062,2062,>=1000,>=1000,False
401,401,250-499,250-499,False
146,146,100-249,100-249,False
611,611,500-999,500-999,False
571,571,500-999,500-999,False
951,951,500-999,500-999,False
515,515,500-999,500-999,False
42,42,<100,<100,False
394,394,250-499,250-499,False
631,631,500-999,500-999,False
870,870,500-999,500-999,False
556,556,500-999,500-999,False
678,678,500-999,500-999,False
403,403,250-499,250-499,False
2001,2001,>=1000,>=1000,False
1324,1324,>=1000,>=1000,False
400,400,250-499,250-499,False
727,727,500-999,500-999,False
949,949,500-999,500-999,False
305,305,250-499,250-499,False
285,285,250-499,250-499,False
397,397,250-499,250-499,False
278,278,250-499,250-499,False
222,222,100-249,100-249,False
983,983,500-999,500-999,False
649,649,500-999,500-999,False
1048,1048,>=1000,>=1000,False
466,466,250-499,250-499,False
52,52,<100,<100,False
395,395,250-499,250-499,False
350,350,250-499,250-499,False
1444,1444,>=1000,>=1000,False
179,179,100-249,100-249,False
531,531,500-999,500-999,False
404,404,250-499,250-499,False
151,151,100-249,100-249,False
1241,1241,>=1000,>=1000,False
318,318,250-499,250-499,False
576,576,500-999,500-999,False
265,265,250-499,250-499,False
727,727,500-999,500-999,False
1385,1385,>=1000,>=1000,False
454,454,250-499,250-499,False
460,460,250-499,250-499,False
121,121,100-249,100-249,False
357,357,250-499,250-499,False
1125,1125,>=1000,>=1000,False
561,561,500-999,500-999,False
493,493,250-499,250-499,False
704,704,500-999,500-999,False
125,125,100-249,100-249,False
360,360,250-499,250-499,False
47,47,<100,<100,False
631,631,500-999,500-999,False
1225,1225,>=1000,>=1000,False
209,209,100-249,100-249,False
36,36,<100,<100,False
218,218,100-249,100-249,False
137,137,100-249,100-249,False
1455,1455,>=1000,>=1000,False
46,46,<100,<100,False
1140,1140,>=1000,>=1000,False
208,208,100-249,100-249,False
570,570,500-999,500-999,False
256,256,250-499,250-499,False
1087,1087,>=1000,>=1000,False
737,737,500-999,500-999,False
