fila_test,id_objeto,clase,prediccion_rf,mal_clasificado_rf,es_clase_dificil,score_isolation_forest,score_lof,rank_if,rank_lof,top_if,top_lof,candidato_fuerte,candidato_interesante
32,CSS_J125741.5-082900,RRc,RRc,False,False,0.3815746919680555,1.0745511070467963,5116,3160,False,False,False,False
33,CSS_J015733.5+375717,EW,EA,True,False,0.45730967449085963,1.0254709092313055,1272,5217,False,False,False,False
34,CSS_J045031.6+033737,EW,EW,False,False,0.3797549658169267,1.0351551797308511,5315,4709,False,False,False,False
35,CSS_J100810.9+605837,EW,EW,False,False,0.3525138816108155,0.9984798690091059,7942,6854,False,False,False,False
36,CSS_J073437.3+532334,EW,EW,False,False,0.3770365553885838,0.9871627458648558,5586,7473,False,False,False,False
37,CSS_J215117.9-131022,RRc,EW,True,False,0.3662096122098389,1.067082601407685,6793,3405,False,False,False,False
38,CSS_J092629.1+301034,RS CVn,EW,True,True,0.44462061332653363,1.2906649700146133,1562,555,False,False,False,False
39,CSS_J033933.6+284337,EW,EW,False,False,0.37329050886834036,1.0191953692714637,6047,5549,False,False,False,False
40,CSS_J131331.5+101007,EW,EW,False,False,0.3881587836467975,1.1014864563717421,4486,2462,False,False,False,False
41,CSS_J055859.6-174934,EW,EW,False,False,0.39206072684620835,1.008732184947559,4137,6212,False,False,False,False
42,CSS_J222405.0+293611,EW,EW,False,False,0.3653187582348834,1.0040406132732724,6901,6514,False,False,False,False
43,CSS_J202305.8-120624,EW,EW,False,False,0.48249156064015214,1.1176269369878127,800,2126,False,False,False,False
44,CSS_J161435.2+132852,EA,EA,False,False,0.5086257959792981,1.2952093977839616,480,532,False,False,False,False
45,CSS_J044329.6-134444,RRc,RRc,False,False,0.3794984610711683,1.0330960161942322,5345,4818,False,False,False,False
46,CSS_J103100.5+343409,RRab,EW,True,False,0.4490526595040427,1.0268019750829318,1437,5141,False,False,False,False
47,CSS_J022636.1-075005,EW,EW,False,False,0.4075600215012223,1.0468446269026421,3016,4196,False,False,False,False
48,CSS_J204055.4-070034,RRab,RRab,False,False,0.41880404175278746,1.0355644888237328,2457,4699,False,False,False,False
49,CSS_J140700.3+014039,EW,EW,False,False,0.37941637232849484,1.040696309909908,5355,4459,False,False,False,False
50,CSS_J015441.7+381010,EW,EW,False,False,0.37403157932061815,1.0553185106062608,5958,3825,False,False,False,False
51,CSS_J232858.2+421141,EW,EW,False,False,0.3535958508792761,0.9810987306487944,7879,7741,False,False,False,False
52,CSS_J051220.0+054814,EA,EA,False,False,0.567128562202951,1.025672803962679,205,5203,False,False,False,False
53,CSS_J055555.9+043815,EW,EW,False,False,0.4377511634674621,1.1158570546987112,1755,2161,False,False,False,False
54,CSS_J151120.3-020423,RRc,RRc,False,False,0.38207976822521617,1.003689831189544,5057,6538,False,False,False,False
55,CSS_J173041.8+161219,EW,EW,False,False,0.41443345526967323,1.1348969116782375,2660,1813,False,False,False,False
56,CSS_J223722.7-124100,RRab,RRab,False,False,0.43757414559154634,0.9837643503242797,1763,7639,False,False,False,False
57,CSS_J233139.3-024205,EW,EW,False,False,0.43386252820507626,1.1679514194701894,1884,1367,False,False,False,False
58,CSS_J052244.8-010231,RS CVn,EW,True,True,0.4275285839285903,1.18429560322761,2093,1196,False,False,False,False
59,CSS_J051523.7-191005,EW,EW,False,False,0.37468699113477766,1.0059018294459183,5877,6393,False,False,False,False
60,CSS_J075442.6+555622,EW,EW,False,False,0.392628924358483,1.425547596939524,4076,221,False,False,False,False
61,CSS_J162101.5-181835,RRab,EW,True,False,0.36104458906966636,0.9920764859670597,7318,7198,False,False,False,False
62,CSS_J171624.8+064155,EW,EW,False,False,0.47758181217650647,1.2433150250193277,880,768,False,False,False,False
63,CSS_J005941.2-081247,EW,EW,False,False,0.37091821842952155,1.032098804919174,6309,4874,False,False,False,False
64,CSS_J080902.2+150848,RRab,RRc,True,False,0.40828453320707525,1.2478320907215807,2981,740,False,False,False,False
65,CSS_J074100.0+520732,EW,EW,False,False,0.3965761179260759,1.1751120962825214,3742,1283,False,False,False,False
66,CSS_J130025.7+530328,EW,RRc,True,False,0.47607067358963173,1.6045542977584333,907,69,False,True,False,False
67,CSS_J145242.8-120436,EW,EW,False,False,0.48013911128855974,1.3359812333059662,828,393,False,False,False,False
68,CSS_J123425.4+153042,EW,EW,False,False,0.35720907913617383,1.0370207544281462,7648,4631,False,False,False,False
69,CSS_J094356.5+503800,EW,EW,False,False,0.39513065750919935,1.0063904635567582,3858,6360,False,False,False,False
70,CSS_J210829.5-100655,EW,EW,False,False,0.36007108926679116,1.0200734786177426,7414,5504,False,False,False,False
71,CSS_J021848.4+293908,EW,EW,False,False,0.4053252050053314,0.9915987110830748,3140,7230,False,False,False,False
72,CSS_J051515.3+153731,RRc,RRc,False,False,0.3739089386657204,0.989928435074833,5970,7319,False,False,False,False
73,CSS_J170240.0+151123,EW,EW,False,False,0.4114588520772257,1.326783827401053,2828,416,False,False,False,False
74,CSS_J143122.9+522031,EW,EW,False,False,0.41417242085290784,1.138488130664386,2676,1751,False,False,False,False
75,CSS_J024829.2+030904,EW,EW,False,False,0.42910914147918106,1.0513809309165334,2030,4000,False,False,False,False
76,CSS_J070705.9+393031,EW,EW,False,False,0.4860356503234161,1.0430847053960872,741,4364,False,False,False,False
77,CSS_J094953.4+353759,RRc,RRc,False,False,0.3749409151253483,1.0039150383541782,5838,6525,False,False,False,False
78,CSS_J142152.5+380905,EW,EW,False,False,0.3569727692370103,1.1164437155981966,7668,2145,False,False,False,False
79,CSS_J163436.9+154421,EA,EA,False,False,0.4628782671760329,1.034779517584812,1145,4732,False,False,False,False
80,CSS_J225506.3+302116,EW,EW,False,False,0.4055253607418431,1.1000266686259121,3125,2503,False,False,False,False
81,CSS_J084554.2+193456,EW,EW,False,False,0.6897676115896041,1.4038449629059329,50,255,True,False,False,False
82,CSS_J211831.3-084953,EW,EW,False,False,0.3929411366108455,1.035645831169258,4044,4692,False,False,False,False
83,CSS_J054058.3+021852,EW,EW,False,False,0.435319915509018,1.0450929281240882,1838,4276,False,False,False,False
84,CSS_J014850.1+224637,EW,EW,False,False,0.4611813482035994,1.1250578656598924,1181,1977,False,False,False,False
85,CSS_J161741.1-032322,RRc,RRc,False,False,0.4015755983528129,1.0350209750185444,3377,4720,False,False,False,False
86,CSS_J043500.2+105716,EW,EW,False,False,0.46330914563249803,1.7765433434061095,1137,34,False,True,False,False
87,CSS_J083422.6+014401,EW,EW,False,False,0.37642096049418605,1.0018378673328097,5660,6652,False,False,False,False
88,CSS_J213702.7+044629,EA,EA,False,False,0.5622643442392177,1.056838970277005,218,3776,False,False,False,False
89,CSS_J033040.4+080340,EW,EW,False,False,0.4084430840915264,1.210135244859431,2974,984,False,False,False,False
90,CSS_J163602.6+430700,EW,EW,False,False,0.3866962291326385,1.045463578450011,4609,4259,False,False,False,False
91,CSS_J172719.1+140236,RRc,RRc,False,False,0.4079406580964857,1.135806196397316,3003,1799,False,False,False,False
92,CSS_J165851.9+090820,EW,EW,False,False,0.36699237191024,1.0554070679079495,6713,3822,False,False,False,False
93,CSS_J143857.8+073136,RRc,EW,True,False,0.38837235669289427,1.2864857383878672,4472,568,False,False,False,False
94,CSS_J080707.0+382856,EW,EW,False,False,0.43029588932421425,1.0514726238145984,2000,3994,False,False,False,False
95,CSS_J155023.6-091044,EW,EW,False,False,0.40604897967955095,1.1325020631065135,3103,1856,False,False,False,False
96,CSS_J121856.7+143714,RS CVn,RS CVn,False,True,0.41122730861317736,1.009486044787818,2845,6151,False,False,False,False
97,CSS_J034402.6-072053,EW,EW,False,False,0.41147909085390744,1.028701283479731,2826,5032,False,False,False,False
98,CSS_J080121.4+510456,EW,EW,False,False,0.3727690221877541,0.9862233159494147,6106,7533,False,False,False,False
99,CSS_J054235.2-034650,RRc,EW,True,False,0.36151977713808336,0.9972700363128386,7273,6907,False,False,False,False
100,CSS_J051438.1-122026,EW,EW,False,False,0.36124404210305544,1.0276419687787364,7301,5097,False,False,False,False
101,CSS_J044512.8+204834,RS CVn,RRc,True,True,0.3976175719052286,1.306820330302343,3674,484,False,False,False,False
102,CSS_J052704.6-053649,EA,EA,False,False,0.42152822831655895,1.031173067469958,2334,4919,False,False,False,False
103,CSS_J044532.8+174543,EW,EW,False,False,0.3694231947820024,1.0251800330699303,6461,5233,False,False,False,False
104,CSS_J210230.7+000846,EW,EW,False,False,0.3693406502373754,1.050255192643211,6471,4051,False,False,False,False
105,CSS_J041909.6-042243,RRc,RRc,False,False,0.37458875367748573,1.0230629272640455,5894,5331,False,False,False,False
106,CSS_J162121.5-084724,EW,EW,False,False,0.406249743504121,1.0558431523358847,3088,3806,False,False,False,False
107,CSS_J081607.3+124825,EW,EW,False,False,0.41187567146095055,1.104709327371309,2802,2382,False,False,False,False
108,CSS_J073824.9+200847,EW,EW,False,False,0.3574545501486041,0.9994065525137563,7623,6795,False,False,False,False
109,CSS_J043639.1+373436,EW,EW,False,False,0.3620773925879452,0.9829922598387307,7223,7674,False,False,False,False
110,CSS_J205733.8+044320,RRc,RRc,False,False,0.3986931642133349,1.0817663001137543,3597,2949,False,False,False,False
111,CSS_J011855.2+143725,EW,EW,False,False,0.4347085678966758,1.1551512203382686,1858,1529,False,False,False,False
112,CSS_J170438.0+330348,EW,EW,False,False,0.40361173987464977,1.1647036838935494,3251,1417,False,False,False,False
113,CSS_J210301.2-051557,EA,EA,False,False,0.48713385326163866,1.1000673688753018,721,2500,False,False,False,False
114,CSS_J084232.9+062119,LPV,LPV,False,False,0.760705551623885,1.3290555416038767,8,412,True,False,False,False
115,CSS_J050003.0+070611,EW,EW,False,False,0.3733600795807776,1.1018004496298028,6038,2448,False,False,False,False
116,CSS_J045455.4-074524,EW,EW,False,False,0.3573050389689068,1.0322581592351265,7634,4865,False,False,False,False
117,CSS_J022040.3+353111,EW,EW,False,False,0.38999694464789203,1.0235750957049674,4329,5319,False,False,False,False
118,CSS_J091042.1+101143,EA,EA,False,False,0.4846599756502325,1.1555417218539348,762,1525,False,False,False,False
119,CSS_J090716.8+060748,EW,EW,False,False,0.37953490318285504,1.0685427256378017,5341,3352,False,False,False,False
120,CSS_J071131.5+324026,EW,EW,False,False,0.42683166450037496,1.0894124643830378,2125,2745,False,False,False,False
121,CSS_J233003.4-024818,EW,EW,False,False,0.37757044116409577,1.0168280874338795,5518,5700,False,False,False,False
122,CSS_J090650.6+034001,EW,EW,False,False,0.4020628848072709,1.1678420612091167,3346,1370,False,False,False,False
123,CSS_J181511.1+322926,EA,EA,False,False,0.6285860416819592,1.0449405051785527,100,4285,True,False,False,False
124,CSS_J232008.0+172736,EW,EW,False,False,0.39298954850565404,1.0119265272043394,4039,6000,False,False,False,False
125,CSS_J061242.0-092333,EW,EW,False,False,0.3552226585654997,1.054700838069715,7784,3849,False,False,False,False
126,CSS_J235256.8+440540,EW,EW,False,False,0.41733815749995024,1.0416366736402203,2522,4431,False,False,False,False
127,CSS_J093503.4-103251,RRc,RRc,False,False,0.37582932859554957,1.1108716390403668,5725,2254,False,False,False,False
128,CSS_J084610.9+022805,EW,EW,False,False,0.3628155415583333,1.0589660152046565,7148,3692,False,False,False,False
129,CSS_J003439.6+290845,RRc,RRc,False,False,0.460185049389183,1.072139108079452,1202,3229,False,False,False,False
130,CSS_J205754.6-163232,EW,EW,False,False,0.35810560289529775,1.0613924504495182,7583,3607,False,False,False,False
131,CSS_J212514.8-111152,EW,EW,False,False,0.3749002387768421,1.0046783122774081,5845,6471,False,False,False,False
132,CSS_J151228.1+341817,EW,EW,False,False,0.35899572257428936,0.9704706566165873,7517,7955,False,False,False,False
133,CSS_J162020.6+263517,EW,EW,False,False,0.3719805658139472,1.0309085966477738,6199,4931,False,False,False,False
134,CSS_J175558.9+292251,RS CVn,RRc,True,True,0.3852318454560276,1.0413708636917984,4749,4437,False,False,False,False
135,CSS_J232133.3+260201,EW,EW,False,False,0.39743448456351177,1.2097085391839415,3683,988,False,False,False,False
136,CSS_J095906.4+294050,EW,EW,False,False,0.3669182432783698,1.0002248361015984,6724,6751,False,False,False,False
137,CSS_J042918.1+033846,EW,EW,False,False,0.4228361491249477,1.1212511436759687,2284,2049,False,False,False,False
138,CSS_J051457.3+014341,EW,EW,False,False,0.36556288954796323,1.2194413044524384,6875,909,False,False,False,False
139,CSS_J112107.7+193330,EW,EW,False,False,0.39015091692334336,1.1013457590552234,4315,2465,False,False,False,False
140,CSS_J151351.4+025957,EW,EW,False,False,0.35574377599230367,1.0177503554049685,7748,5645,False,False,False,False
141,CSS_J021015.5+302645,EW,EW,False,False,0.4031703375617534,0.9983053361811678,3277,6861,False,False,False,False
142,CSS_J114105.0+285921,RRc,RRc,False,False,0.39252720252226386,1.049360024189912,4090,4079,False,False,False,False
143,CSS_J053218.8-050526,EW,EW,False,False,0.3653842325541499,1.1048387289565214,6898,2379,False,False,False,False
144,CSS_J094123.8+234533,RRd,EW,True,True,0.398647809752419,1.2681482393585992,3600,636,False,False,False,False
145,CSS_J173851.2+255746,EW,EA,True,False,0.4126314212995078,1.033242629585388,2762,4811,False,False,False,False
146,CSS_J011048.3-181330,EW,EW,False,False,0.466666021514219,1.2439523564926114,1074,763,False,False,False,False
147,CSS_J233138.1+072100,EW,EW,False,False,0.3598024489854196,0.9965228710824791,7441,6950,False,False,False,False
148,CSS_J213005.1+204430,EW,EW,False,False,0.38809959126988147,1.028025802564204,4494,5070,False,False,False,False
149,CSS_J154239.7-190535,RRab,EW,True,False,0.3815099355101056,1.045588202126974,5122,4251,False,False,False,False
150,CSS_J050906.2-034243,EW,EW,False,False,0.3989752864122537,1.1219032407900467,3571,2028,False,False,False,False
151,CSS_J224228.1+060856,RS CVn,EW,True,True,0.4401670592266942,1.0726754038276056,1682,3217,False,False,False,False
152,CSS_J045705.2-094658,EW,EW,False,False,0.3977820597247207,1.1314175187286932,3656,1874,False,False,False,False
153,CSS_J030014.5+121510,EW,EW,False,False,0.3716591042756433,1.0579623409129377,6228,3730,False,False,False,False
154,CSS_J072502.6+341446,EW,EW,False,False,0.3959751882171477,1.0119354863845396,3797,5999,False,False,False,False
155,CSS_J084022.6-103823,EW,EW,False,False,0.5034797288753826,1.4156047911473222,528,241,False,False,False,False
156,CSS_J055922.9+025917,EW,EW,False,False,0.40974859894078225,1.0615202439398588,2907,3601,False,False,False,False
157,CSS_J051654.1+033252,EA,EW,True,False,0.5536718862487237,1.3824022867934174,241,291,False,False,False,False
158,CSS_J041253.9+270016,EW,EW,False,False,0.47742983420267154,1.4583790825447447,886,187,False,False,False,False
159,CSS_J081658.3+242052,EW,EW,False,False,0.40079621888455363,1.2076772189952516,3435,1005,False,False,False,False
160,CSS_J152031.8+355702,EW,EW,False,False,0.35524668275114596,0.9981344000910296,7780,6871,False,False,False,False
161,CSS_J162245.7-155805,EW,RRc,True,False,0.3702592414990187,1.1290327165321004,6370,1909,False,False,False,False
162,CSS_J220014.2+230500,EW,EW,False,False,0.40101479863964523,1.2229019808702486,3421,888,False,False,False,False
163,CSS_J123831.3+112729,RRc,RRc,False,False,0.3777927432127011,1.2072635937315774,5495,1006,False,False,False,False
164,CSS_J232611.8+380115,EW,EW,False,False,0.3877104499392795,1.0090683025879432,4520,6181,False,False,False,False
165,CSS_J164353.9+274755,EW,EW,False,False,0.36864215415807416,1.0061949191225366,6537,6368,False,False,False,False
166,CSS_J203559.9-044520,EW,EW,False,False,0.3824611519236412,1.0957048050036735,5018,2591,False,False,False,False
167,CSS_J042647.3-124937,EW,EW,False,False,0.4743986177588753,1.1461638239838452,933,1655,False,False,False,False
168,CSS_J091415.2+192524,EW,EW,False,False,0.4129092545200216,1.07327611194253,2750,3199,False,False,False,False
169,CSS_J055615.0-065735,EW,EW,False,False,0.38902302041778725,1.2920611170639626,4416,551,False,False,False,False
170,CSS_J083737.1+395803,LPV,LPV,False,False,0.7472736805383108,0.9839929059849967,13,7631,True,False,False,False
171,CSS_J104849.5+113018,EW,EW,False,False,0.4102866607768612,1.1185571080535708,2881,2103,False,False,False,False
172,CSS_J224827.6+341351,EW,EW,False,False,0.35898704976423357,1.0071017627087486,7519,6315,False,False,False,False
173,CSS_J214613.6+122940,EA,EA,False,False,0.46236137533319577,1.0582021077661095,1156,3724,False,False,False,False
174,CSS_J101045.5+565714,EW,EW,False,False,0.7000571213359588,1.5236557598332259,42,116,True,True,True,True
175,CSS_J222515.7-052702,RRab,RRab,False,False,0.3800415230874612,1.004735116925429,5286,6466,False,False,False,False
176,CSS_J124942.5+125453,EW,EW,False,False,0.4120298541793215,1.0908827713095401,2792,2701,False,False,False,False
177,CSS_J211804.7-100056,EW,EW,False,False,0.38092683303273106,1.0750276338123759,5200,3150,False,False,False,False
178,CSS_J174338.1+252820,RRc,RRc,False,False,0.3951556185978884,0.9960604292660881,3855,6973,False,False,False,False
179,CSS_J051915.1+025606,EW,EW,False,False,0.3882561259998025,1.0268734249644753,4477,5136,False,False,False,False
180,CSS_J052233.4-093538,EW,EW,False,False,0.3944520604514405,1.0486266661323387,3915,4105,False,False,False,False
181,CSS_J092323.6+565528,EW,EW,False,False,0.4319886783622153,1.0978282882196622,1947,2552,False,False,False,False
182,CSS_J223325.0+055106,EA,EA,False,False,0.43981759121892633,0.9946843901865193,1691,7057,False,False,False,False
183,CSS_J205017.0-051213,EW,EW,False,False,0.41558538707497444,1.2353991209171318,2603,799,False,False,False,False
184,CSS_J005107.2+254024,EW,EW,False,False,0.403025540239106,0.9949980985136723,3285,7035,False,False,False,False
185,CSS_J123531.9+141933,EW,EW,False,False,0.40516714515798935,1.2510706767057618,3153,723,False,False,False,False
186,CSS_J045434.5+304347,EW,EW,False,False,0.3714594971607709,1.0789032982932985,6248,3042,False,False,False,False
187,CSS_J130443.2+125540,RRc,RRc,False,False,0.38686610589659,1.1963558415781828,4597,1088,False,False,False,False
188,CSS_J090007.5+182048,EW,EW,False,False,0.45314343845560523,1.3131775069080898,1355,457,False,False,False,False
189,CSS_J053756.5+050226,EA,EW,True,False,0.430522505262486,1.067673628372899,1990,3379,False,False,False,False
190,CSS_J215104.3+221708,EW,EW,False,False,0.37515925955081597,1.0256925610580931,5816,5202,False,False,False,False
191,CSS_J171338.8+292005,RRc,RRc,False,False,0.40326891416055,1.0129986422092367,3273,5918,False,False,False,False
192,CSS_J011419.1+222916,EW,EW,False,False,0.4115937522738563,1.0637253499078114,2817,3519,False,False,False,False
193,CSS_J050539.4+302231,EA,EA,False,False,0.5489393168157753,1.0161766081513743,258,5738,False,False,False,False
194,CSS_J085848.0-012743,EW,EW,False,False,0.3839703780382888,1.1244730712381426,4873,1985,False,False,False,False
195,CSS_J082622.9+282405,RRd,EW,True,True,0.4681129515519884,1.5551425399598457,1050,96,False,True,False,False
196,CSS_J020451.4+174657,EW,EW,False,False,0.3638403471611825,1.1030046862157858,7045,2418,False,False,False,False
197,CSS_J081217.5+142254,EW,EW,False,False,0.4313468986763367,1.049249170864775,1966,4085,False,False,False,False
198,CSS_J084900.2+224652,EW,EW,False,False,0.3995029926122831,0.9955314324500056,3542,7003,False,False,False,False
199,CSS_J233838.0+361711,RRc,RRab,True,False,0.4239510871942291,1.029297123509767,2244,5002,False,False,False,False
200,CSS_J071813.2+473113,EA,EW,True,False,0.38974219788958475,1.0331319455258359,4351,4815,False,False,False,False
201,CSS_J103342.0-174954,RRc,RRc,False,False,0.40411795572823295,1.1021580992835196,3228,2443,False,False,False,False
202,CSS_J125610.5-111743,RRab,RRab,False,False,0.41947005932391496,1.407002191371951,2427,249,False,False,False,False
203,CSS_J111017.8-050202,RRc,EW,True,False,0.4358967620578149,1.4183897599042241,1822,233,False,False,False,False
204,CSS_J022236.0+255627,EW,EW,False,False,0.4040568260790796,1.0958955916151871,3231,2589,False,False,False,False
205,CSS_J081828.8+110753,EW,EW,False,False,0.3702251336028938,1.00845834390219,6375,6229,False,False,False,False
206,CSS_J093635.5-181654,EW,EW,False,False,0.3633056593605571,1.1215699827204313,7087,2041,False,False,False,False
207,CSS_J215750.9+135455,EW,EW,False,False,0.41437535156692834,0.9997926405726926,2665,6776,False,False,False,False
208,CSS_J050716.9+060607,EA,EA,False,False,0.459335776638507,1.1874914407670585,1217,1160,False,False,False,False
209,CSS_J015926.8+282859,EW,EW,False,False,0.40510110473809696,0.9836939357106941,3156,7643,False,False,False,False
210,CSS_J174653.5+271341,EW,EW,False,False,0.38839469629504914,1.1724541654188623,4469,1315,False,False,False,False
211,CSS_J005550.6+405113,EW,EW,False,False,0.36390088542244525,1.0257423924256717,7037,5196,False,False,False,False
212,CSS_J105958.8+465534,EW,EW,False,False,0.37671978755160085,0.9761006755842973,5628,7865,False,False,False,False
213,CSS_J003928.6+025803,EW,EW,False,False,0.3795508255287805,1.0119448147068004,5339,5998,False,False,False,False
214,CSS_J083240.6+175057,EW,EW,False,False,0.5545927768056663,1.3968856599210564,236,264,False,False,False,False
215,CSS_J121429.2+104147,RRd,RS CVn,True,True,0.4411032436076789,1.145340090262631,1649,1666,False,False,False,False
216,CSS_J095247.2+100837,EW,EW,False,False,0.45831422458747123,1.183201399624729,1246,1206,False,False,False,False
217,CSS_J165403.9+201835,EW,EW,False,False,0.36500107528721343,0.9769341461593305,6934,7848,False,False,False,False
218,CSS_J181928.6+311308,RRab,RRab,False,False,0.44188012347370575,1.0776320450008774,1630,3081,False,False,False,False
219,CSS_J005026.7+441426,EW,EW,False,False,0.35725945976293966,0.974934601806288,7640,7884,False,False,False,False
220,CSS_J003520.9+175311,EW,EW,False,False,0.40235356734436867,1.0462913362092263,3328,4217,False,False,False,False
221,CSS_J052141.6+041812,EW,EW,False,False,0.4734170579610712,1.3339331320592667,954,398,False,False,False,False
222,CSS_J231846.0+425905,EW,EW,False,False,0.38039757422992243,1.0599534638534245,5250,3656,False,False,False,False
223,CSS_J212345.9+144555,EW,EW,False,False,0.41572824279984893,1.030037391329175,2597,4970,False,False,False,False
224,CSS_J142814.2-174917,RRc,RRc,False,False,0.3817783598319536,1.0267618534013618,5096,5145,False,False,False,False
225,CSS_J084652.0+145031,EW,EW,False,False,0.42205992291694283,1.2597903589241284,2311,688,False,False,False,False
226,CSS_J203402.8-045646,RRab,RRab,False,False,0.44129322154370126,1.232304215639698,1644,821,False,False,False,False
227,CSS_J110649.5-171937,EW,EW,False,False,0.3898149715127604,1.18907857104899,4342,1143,False,False,False,False
228,CSS_J155321.8-152121,EW,EW,False,False,0.3823216317678667,1.0553077668302266,5029,3826,False,False,False,False
229,CSS_J053626.1-031355,RS CVn,EW,True,True,0.3748918327274144,1.2630563845428573,5849,670,False,False,False,False
230,CSS_J014452.0+380450,EA,EA,False,False,0.4869099951812843,1.1447688429520282,724,1670,False,False,False,False
231,CSS_J053500.8+053353,EW,EW,False,False,0.42243961334322977,1.4596385257527096,2297,183,False,False,False,False
232,CSS_J203510.2-191410,EW,EW,False,False,0.3669312628809132,0.9974251860031595,6723,6901,False,False,False,False
233,CSS_J081835.5+261436,EW,EW,False,False,0.3927963979292117,0.9935225851985787,4065,7115,False,False,False,False
234,CSS_J052840.7+073323,EA,EA,False,False,0.39772667988207056,1.0244456607289227,3663,5269,False,False,False,False
235,CSS_J070554.0+542456,EW,EW,False,False,0.3961589086474203,1.0427390018288194,3776,4383,False,False,False,False
236,CSS_J162010.3+031207,EW,EW,False,False,0.3815321973027621,1.178675122401078,5121,1248,False,False,False,False
237,CSS_J040233.1+380442,EW,EW,False,False,0.39374537419621,0.9999794570975169,3966,6768,False,False,False,False
238,CSS_J124710.6-034559,EW,EA,True,False,0.4905787504973236,1.0290524236732699,673,5011,False,False,False,False
239,CSS_J122512.5+103616,EW,EW,False,False,0.3612140548674731,1.0284812739916578,7302,5051,False,False,False,False
240,CSS_J111546.9+211313,EW,EW,False,False,0.4440124553119581,1.0202795741539883,1570,5491,False,False,False,False
241,CSS_J082648.4-043610,EW,EW,False,False,0.4544740210820371,1.1430509193469758,1330,1693,False,False,False,False
